Sent_id,sentence,term1,b1,e1,term2,b2,e2,cause sentence-relation score,sentence clarity,cause crowd training score for 0.1 neg/pos thresh,cause crowd training score for 0.2 neg/pos thresh,cause crowd training score for 0.3 neg/pos thresh,cause crowd training score for 0.4 neg/pos thresh,cause crowd training score for 0.5 neg/pos thresh,cause crowd training score for 0.6 neg/pos thresh,cause crowd training score for 0.7 neg/pos thresh,cause crowd training score for 0.8 neg/pos thresh,cause crowd training score for 0.9 neg/pos thresh,cause baseline training score,cause single training score,distant supervision term1,distant supervision term2,UMLS seed relation
900001,This case provides further evidence of a genetic predisposition to RHEUMATIC FEVER and demonstrates the continued value of penicillin in the prophylaxis of ACUTE RHEUMATIC FEVER,ACUTE RHEUMATIC FEVER,156,177,RHEUMATIC FEVER,67,82,0.4522670169,0.6030226892,0.908711169483333,0.89730006566875,0.882628646478571,0.863066754225,-0.86431989493,-0.886933245775,-0.903085639235714,-0.91519993433125,-0.92462216385,1,-1,ACUTE RHEUMATIC FEVER,RHEUMATIC FEVER,RO-cause_of
900005,Not  effective as sole therapy for TYPE 1 DIABETES MELLITUS or DIABETIC KETOACIDOSIS; insulin is necessary.,DIABETIC KETOACIDOSIS,63,83,TYPE 1 DIABETES MELLITUS,35,59,0.1474419562,0.8846517369,0.8579069927,-0.88941853285,-0.9262790219,-0.944709266425,-0.95576741314,-0.96313951095,-0.9684052951,-0.9723546332125,-0.975426340633333,1,-1,DIABETIC KETOACIDOSIS,DIABETES,RO-cause_of
900006,SEPSIS and the SYSTEMIC INFLAMMATORY RESPONSE SYNDROME are common and represent a major factor in morbidity and mortality in intensive care units and the critically ill,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,15,54,SEPSIS,0,6,0.2357022604,0.9428090416,0.8726170434,0.856694173825,-0.8821488698,-0.91161165235,-0.92928932188,-0.9410744349,-0.949492372771429,-0.955805826175,-0.960716289933333,1,1,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,RO-cause_of
900009,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS (SCLE) is a subset of LUPUS ERYTHEMATOSUS which is characterized by unique cutaneous manifestations and immunological abnormalities.,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,0,37,LUPUS ERYTHEMATOSUS,19,38,0.2,0.8,0.866666666666667,0.85,-0.9,-0.925,-0.94,-0.95,-0.957142857142857,-0.9625,-0.966666666666667,1,-1,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,LUPUS ERYTHEMATOSUS,RO-cause_of
900011,"About one third of patients have a history of asthma, and up to one half have some ATOPIC HISTORY including ALLERGIC RHINITIS and nasal polyps.",ALLERGIC RHINITIS,108,124,ATOPIC HISTORY,83,97,0.2626128657,0.7878385972,0.877102144283333,0.86173991231875,-0.86869356715,-0.9015201753625,-0.92121614029,-0.934346783575,-0.943725814492857,-0.95076008768125,-0.95623118905,1,-1,ALLERGIC RHINITIS,ATOPIC,RO-cause_of
900013,"Besides, an immunopathologic role for Candida has been suggested for ATOPIC DERMATITIS, ATOPY, and other conditions, overtly associated or not with Candida",ATOPIC DERMATITIS,69,86,ATOPY,88,93,0,0.8017837257,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,ATOPIC DERMATITIS,ATOPY,RO-cause_of
900016,"Visual evoked potentials (VEPs) produced by pattern reversal were compared with those elicited by onset of motion in 37 amblyopic children (20 with anisometropic amblyopia, seven with STRABISMIC AMBLYOPIA and 10 with both anisometropia and STRABISMUS",STRABISMIC AMBLYOPIA,184,203,STRABISMUS,240,250,0.1666666667,0.6666666667,0.861111111116667,-0.874999999975,-0.91666666665,-0.9374999999875,-0.94999999999,-0.958333333325,-0.964285714278571,-0.96874999999375,-0.972222222216667,1,-1,STRABISMIC AMBLYOPIA,STRABISMUS,RO-cause_of
900023,The diagnosis of GYRATE ATROPHY was confirmed biochemically and clinically; HYPERORNITHINEMIA and a deficiency of ornithine ketoacid transaminase were confirmed biochemically.,GYRATE ATROPHY,17,30,HYPERORNITHINEMIA,76,93,0.1360827635,0.8164965809,0.856013793916667,-0.897937927375,-0.93195861825,-0.9489689636875,-0.95917517095,-0.965979309125,-0.970839407821429,-0.97448448184375,-0.977319539416667,1,-1,GYRATE ATROPHY,HYPERORNITHINEMIA,RO-cause_of
900029,"One was clinically euthyroid, whereas the other two were more unusual in that one had coincident GRAVES' DISEASE with THYROTOXICOSIS and one had primary myxodema.",GRAVES' DISEASE,97,111,THYROTOXICOSIS,118,132,0.260377822,0.9113223769,0.876729637,0.861320841625,-0.869811089,-0.90235831675,-0.9218866534,-0.9349055445,-0.944204752428571,-0.951179158375,-0.956603696333333,1,-1,GRAVES' DISEASE,THYROTOXICOSIS,RO-cause_of
900031,"They include increased oxygen consumption, HYPERVENTILATION and RESPIRATORY ALKALOSIS; increased cardiac output, systemic peripheral resistance and blood pressure; delayed gastric emptying; impaired uterine contractility and diminished uterine perfusion; and metabolic acidaemia",RESPIRATORY ALKALOSIS,64,85,HYPERVENTILATION,43,59,0.4242640687,0.8485281374,0.90404401145,0.89204951288125,0.876628014721429,0.856066017175,-0.87272077939,-0.893933982825,-0.909086270992857,-0.92045048711875,-0.929289321883333,1,-1,RESPIRATORY ALKALOSIS,HYPERVENTILATION,RO-cause_of
