Sent_id,sentence,term1,b1,e1,term2,b2,e2,senrel_score,crowd,baseline,single,expert,distant supervision term1,distant supervision term2,UMLS seed relation
900001,This case provides further evidence of a genetic predisposition to RHEUMATIC FEVER and demonstrates the continued value of penicillin in the prophylaxis of ACUTE RHEUMATIC FEVER,ACUTE RHEUMATIC FEVER,156,177,RHEUMATIC FEVER,67,82,0.4522670169,-0.8643198949,1,-1,-1,ACUTE RHEUMATIC FEVER,RHEUMATIC FEVER,RO-cause_of
900005,Not  effective as sole therapy for TYPE 1 DIABETES MELLITUS or DIABETIC KETOACIDOSIS; insulin is necessary.,DIABETIC KETOACIDOSIS,63,83,TYPE 1 DIABETES MELLITUS,35,59,0.1474419562,-0.9557674131,1,-1,-1,DIABETIC KETOACIDOSIS,DIABETES,RO-cause_of
900006,SEPSIS and the SYSTEMIC INFLAMMATORY RESPONSE SYNDROME are common and represent a major factor in morbidity and mortality in intensive care units and the critically ill,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,15,54,SEPSIS,0,6,0.2357022604,-0.9292893219,1,1,-1,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,RO-cause_of
900009,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS (SCLE) is a subset of LUPUS ERYTHEMATOSUS which is characterized by unique cutaneous manifestations and immunological abnormalities.,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,0,37,LUPUS ERYTHEMATOSUS,19,38,0.2,-0.94,1,-1,-1,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,LUPUS ERYTHEMATOSUS,RO-cause_of
900011,"About one third of patients have a history of asthma, and up to one half have some ATOPIC HISTORY including ALLERGIC RHINITIS and nasal polyps.",ALLERGIC RHINITIS,108,124,ATOPIC HISTORY,83,97,0.2626128657,-0.9212161403,1,-1,-1,ALLERGIC RHINITIS,ATOPIC,RO-cause_of
900013,"Besides, an immunopathologic role for Candida has been suggested for ATOPIC DERMATITIS, ATOPY, and other conditions, overtly associated or not with Candida",ATOPIC DERMATITIS,69,86,ATOPY,88,93,0,-1,1,-1,-1,ATOPIC DERMATITIS,ATOPY,RO-cause_of
900016,"Visual evoked potentials (VEPs) produced by pattern reversal were compared with those elicited by onset of motion in 37 amblyopic children (20 with anisometropic amblyopia, seven with STRABISMIC AMBLYOPIA and 10 with both anisometropia and STRABISMUS",STRABISMIC AMBLYOPIA,184,203,STRABISMUS,240,250,0.1666666667,-0.95,1,-1,-1,STRABISMIC AMBLYOPIA,STRABISMUS,RO-cause_of
900023,The diagnosis of GYRATE ATROPHY was confirmed biochemically and clinically; HYPERORNITHINEMIA and a deficiency of ornithine ketoacid transaminase were confirmed biochemically.,GYRATE ATROPHY,17,30,HYPERORNITHINEMIA,76,93,0.1360827635,-0.959175171,1,-1,1,GYRATE ATROPHY,HYPERORNITHINEMIA,RO-cause_of
900029,"One was clinically euthyroid, whereas the other two were more unusual in that one had coincident GRAVES' DISEASE with THYROTOXICOSIS and one had primary myxodema.",GRAVES' DISEASE,97,111,THYROTOXICOSIS,118,132,0.260377822,-0.9218866534,1,-1,-1,GRAVES' DISEASE,THYROTOXICOSIS,RO-cause_of
900031,"They include increased oxygen consumption, HYPERVENTILATION and RESPIRATORY ALKALOSIS; increased cardiac output, systemic peripheral resistance and blood pressure; delayed gastric emptying; impaired uterine contractility and diminished uterine perfusion; and metabolic acidaemia",RESPIRATORY ALKALOSIS,64,85,HYPERVENTILATION,43,59,0.4242640687,-0.8727207794,1,-1,-1,RESPIRATORY ALKALOSIS,HYPERVENTILATION,RO-cause_of
