Sent_id,relation,sentence_relation_score,crowd,baseline,expert,test_partition,term1,b1,e1,term2,b2,e2,sentence,term1_UMLS,term2_UMLS,UMLS_seed_relation
100003,treat,0,-1,-1,NA,NA,AUTISM,68,74,TANTRUM,135,142,"The limited data suggest that, in children with mental retardation, AUTISM is associated with aggression, destruction of property, and TANTRUMs.",AUTISM,TANTRUM,disease has finding
100039,treat,0,-1,-1,NA,NA,SLEEP PROBLEM,0,13,FAMILY STRESS,59,72,"SLEEP PROBLEMs are associated with difficult behaviors and FAMILY STRESS, and are often a focus of clinical attention over and above the primary ASD diagnosis.",SLEEP PROBLEM,FAMILY STRESS,disease has finding
100079,treat,0.1020620726,-0.8979379274,-1,NA,NA,CEREBELLAR ATAXIA,9,26,CEREBELLUM,92,110,The term CEREBELLAR ATAXIA is employed to indicate ataxia that is due to dysfunction of the CEREBELLUM,CEREBELLAR ATAXIA,CEREBELLUM,disease has finding
100086,treat,0,-1,-1,NA,NA,CEREBELLAR DEGENERATION,94,117,CHRONIC ETHANOL ABUSE,57,78,"Non hereditary causes of cerebellar degeneration include CHRONIC ETHANOL ABUSE paraneoplastic CEREBELLAR DEGENERATION, high altitude cerebral oedema, coeliac disease, normal pressure hydrocephalus and cerebellitis.",CEREBELLAR DEGENERATION,ETHANOL,disease has finding
100145,treat,0,-1,-1,NA,NA,HEART PROBLEM,92,105,ARTHRITIS,52,61,"The disorder can present with a migratory nature of ARTHRITIS with many other features like HEART PROBLEMs, skin rash, gait abnormality and skin nodules.",HEART PROBLEM,ARTHRITIS,disease has finding
100149,treat,0,-1,-1,NA,NA,CONSTANT JOINT PAIN,137,164,LUPUS,18,23,"Other features of LUPUS include a skin rash, extreme photosensitivity, hair loss, kidney problems, emotional lability, lung fibrosis and CONSTANT JOINT PAIN",JOINT PAIN,LUPUS,disease has finding
100159,treat,0,-1,-1,NA,NA,OBESITY,53,60,ARTHRITIS,26,35,"Many individuals who have ARTHRITIS also suffer from OBESITY, high cholesterol or have heart disease.",OBESITY,ARTHRITIS,disease has finding
100168,treat,0,-1,-1,NA,NA,APHASIA,15,22,DYSPHASIA,78,87,"Traditionally, APHASIA suggests the total impairment of language ability, and DYSPHASIA a degree of impairment less than total.",APHASIA,DYSPHASIA,disease has finding
100170,treat,0,-1,-1,NA,NA,APHASIA,0,7,SPEECH DISORDER,26,41,"APHASIA may co-occur with SPEECH DISORDERs such as dysarthria or apraxia of speech, which also result from brain damage.",APHASIA,SPEECH DISORDER,disease has finding
100253,treat,0.3,-0.7,-1,NA,NA,SCHIZOPHRENIA,159,172,TOURETTE SYNDROME,105,122,"Its main usefulness is the treatment of hyperkinetic movement disorders such as Huntington's disease and TOURETTE SYNDROME, rather than for conditions such as SCHIZOPHRENIA.",SCHIZOPHRENIA,TOURETTE SYNDROME,disease has finding
100313,treat,0,-1,-1,NA,NA,PSYCHOSIS,0,9,SCHIZOPHRENIA,123,136,"PSYCHOSIS, confusion, and organic brain syndrome may be caused by alcohol misuse, which can lead to a misdiagnosis such as SCHIZOPHRENIA.",PSYCHOSIS,SCHIZOPHRENIA,disease has finding
100341,treat,0.1490711985,-0.8509288015,-1,NA,NA,DIABETES,53,61,PERIPHERAL VASCULAR DISEASE,113,140,"The Circulator Boot is also effective in patients of DIABETES and arteriosclerosis, and in limb ulcers caused by PERIPHERAL VASCULAR DISEASE.",DIABETES,PERIPHERAL VASCULAR DISEASE,disease has finding
100538,treat,0,-1,-1,NA,NA,BACTERIAL VAGINOSIS,0,19,VAGINAL INFECTION,48,73,BACTERIAL VAGINOSIS is the most common cause of VAGINAL INFECTION,BACTERIAL VAGINOSIS,VAGINAL INFECTION,disease has finding
