_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,direction,b1,b2,direction_gold,e1,e2,relation,relex_relcos,sent_id,sentence,term1,term2,twrex
498010585,7/4/2014 13:14:17,false,1314862046,7/4/2014 13:13:58,instagc,0.5833,18960682,GBR,,,86.29.55.201,ROSAI-DORFMAN DISEASE causes EMPERIPOLESIS,80,140,,93,161,causes,0.762000762001143,901928-FS1-4,"Pathology showed inflammatory infiltrate in the absence of an infectious agent, EMPERIPOLESIS and a positive S100 stain was consistent with ROSAI-DORFMAN DISEASE",EMPERIPOLESIS,ROSAI-DORFMAN DISEASE,RO-disease_has_finding
498010585,7/4/2014 12:40:39,false,1314836327,7/4/2014 12:40:17,clixsense,0.881,26649250,GBR,N7,Epsom,193.117.31.2,EMPERIPOLESIS causes ROSAI-DORFMAN DISEASE,80,140,,93,161,causes,0.762000762001143,901928-FS1-4,"Pathology showed inflammatory infiltrate in the absence of an infectious agent, EMPERIPOLESIS and a positive S100 stain was consistent with ROSAI-DORFMAN DISEASE",EMPERIPOLESIS,ROSAI-DORFMAN DISEASE,RO-disease_has_finding
498010585,7/4/2014 13:16:29,false,1314863843,7/4/2014 13:16:14,clixsense,0.7051,27871219,NLD,7,Amsterdam,87.210.207.223,ROSAI-DORFMAN DISEASE causes EMPERIPOLESIS,80,140,,93,161,causes,0.762000762001143,901928-FS1-4,"Pathology showed inflammatory infiltrate in the absence of an infectious agent, EMPERIPOLESIS and a positive S100 stain was consistent with ROSAI-DORFMAN DISEASE",EMPERIPOLESIS,ROSAI-DORFMAN DISEASE,RO-disease_has_finding
497984421,7/4/2014 10:27:39,,1314760754,7/4/2014 10:27:23,clixsense,0.7,15189335,GBR,I9,Dereham,86.157.163.112,ROSAI-DORFMAN DISEASE causes EMPERIPOLESIS,80,140,,93,161,causes,0.762000762001143,901928-FS1-4,"Pathology showed inflammatory infiltrate in the absence of an infectious agent, EMPERIPOLESIS and a positive S100 stain was consistent with ROSAI-DORFMAN DISEASE",EMPERIPOLESIS,ROSAI-DORFMAN DISEASE,RO-disease_has_finding
497984421,7/4/2014 10:30:12,,1314761832,7/4/2014 10:29:42,clixsense,0.8875,19162475,GBR,M3,Frome,82.33.126.30,ROSAI-DORFMAN DISEASE causes EMPERIPOLESIS,80,140,,93,161,causes,0.762000762001143,901928-FS1-4,"Pathology showed inflammatory infiltrate in the absence of an infectious agent, EMPERIPOLESIS and a positive S100 stain was consistent with ROSAI-DORFMAN DISEASE",EMPERIPOLESIS,ROSAI-DORFMAN DISEASE,RO-disease_has_finding
497984421,7/4/2014 10:54:37,,1314773162,7/4/2014 10:53:49,clixsense,0.5958,27969116,NLD,,,91.213.37.165,no_relation,80,140,,93,161,causes,0.762000762001143,901928-FS1-4,"Pathology showed inflammatory infiltrate in the absence of an infectious agent, EMPERIPOLESIS and a positive S100 stain was consistent with ROSAI-DORFMAN DISEASE",EMPERIPOLESIS,ROSAI-DORFMAN DISEASE,RO-disease_has_finding
498010594,7/4/2014 12:47:12,false,1314840735,7/4/2014 12:46:46,rewardsspot,0.75,17763704,USA,VA,Manassas,198.7.62.204,FEVER causes INFECTIOUS MONONUCLEOSIS,70,40,,75,64,causes,0.894427190999916,901960-FS1-4,"Alternatively, the disease may resemble INFECTIOUS MONONUCLEOSIS with FEVER, pharyngitis, hepatosplenomegaly, and adenopathy",FEVER,INFECTIOUS MONONUCLEOSIS,RO-disease_has_finding
498010594,7/4/2014 13:05:12,false,1314854888,7/4/2014 13:04:49,clixsense,0.7024,17950689,GBR,X5,Cardiff,89.168.38.216,INFECTIOUS MONONUCLEOSIS causes FEVER,70,40,,75,64,causes,0.894427190999916,901960-FS1-4,"Alternatively, the disease may resemble INFECTIOUS MONONUCLEOSIS with FEVER, pharyngitis, hepatosplenomegaly, and adenopathy",FEVER,INFECTIOUS MONONUCLEOSIS,RO-disease_has_finding
498010594,7/4/2014 13:06:22,false,1314855680,7/4/2014 13:06:17,prodege,0.5238,18960400,GBR,A2,Edgware,31.54.207.221,INFECTIOUS MONONUCLEOSIS causes FEVER,70,40,,75,64,causes,0.894427190999916,901960-FS1-4,"Alternatively, the disease may resemble INFECTIOUS MONONUCLEOSIS with FEVER, pharyngitis, hepatosplenomegaly, and adenopathy",FEVER,INFECTIOUS MONONUCLEOSIS,RO-disease_has_finding
497984430,7/4/2014 10:29:22,,1314761512,7/4/2014 10:29:17,clixsense,0.8875,19162475,GBR,M3,Frome,82.33.126.30,FEVER causes INFECTIOUS MONONUCLEOSIS,70,40,,75,64,causes,0.894427190999916,901960-FS1-4,"Alternatively, the disease may resemble INFECTIOUS MONONUCLEOSIS with FEVER, pharyngitis, hepatosplenomegaly, and adenopathy",FEVER,INFECTIOUS MONONUCLEOSIS,RO-disease_has_finding
497984430,7/4/2014 10:31:10,,1314762225,7/4/2014 10:30:40,clixsense,0.7,15189335,GBR,I9,Dereham,86.157.163.112,INFECTIOUS MONONUCLEOSIS causes FEVER,70,40,,75,64,causes,0.894427190999916,901960-FS1-4,"Alternatively, the disease may resemble INFECTIOUS MONONUCLEOSIS with FEVER, pharyngitis, hepatosplenomegaly, and adenopathy",FEVER,INFECTIOUS MONONUCLEOSIS,RO-disease_has_finding
497984430,7/4/2014 11:05:15,,1314778365,7/4/2014 11:04:31,clixsense,0.5958,27969116,NLD,,,91.213.37.165,INFECTIOUS MONONUCLEOSIS causes FEVER,70,40,,75,64,causes,0.894427190999916,901960-FS1-4,"Alternatively, the disease may resemble INFECTIOUS MONONUCLEOSIS with FEVER, pharyngitis, hepatosplenomegaly, and adenopathy",FEVER,INFECTIOUS MONONUCLEOSIS,RO-disease_has_finding
498010606,7/4/2014 12:48:10,false,1314841453,7/4/2014 12:47:55,rewardsspot,0.75,17763704,USA,VA,Manassas,198.7.62.204,RADIAL GROWTH PHASE causes SUPERFICIAL SPREADING MELANOMA,93,57,,112,87,causes,0.384110639798688,901985-FS1-4,The biologic behavior of the intraepidermal component of SUPERFICIAL SPREADING MELANOMA (the RADIAL GROWTH PHASE) has been demonstrated to have significantly different properties than those of the cells in the vertical growth phase,RADIAL GROWTH PHASE,SUPERFICIAL SPREADING MELANOMA,RO-disease_has_finding
498010606,7/4/2014 13:03:09,false,1314853384,7/4/2014 13:03:02,clixsense,0.7024,17950689,GBR,X5,Cardiff,89.168.38.216,RADIAL GROWTH PHASE causes SUPERFICIAL SPREADING MELANOMA,93,57,,112,87,causes,0.384110639798688,901985-FS1-4,The biologic behavior of the intraepidermal component of SUPERFICIAL SPREADING MELANOMA (the RADIAL GROWTH PHASE) has been demonstrated to have significantly different properties than those of the cells in the vertical growth phase,RADIAL GROWTH PHASE,SUPERFICIAL SPREADING MELANOMA,RO-disease_has_finding
498010606,7/4/2014 12:40:12,false,1314836010,7/4/2014 12:39:22,rewardsspot,0.6905,24482174,GBR,H9,London,46.23.68.180,no_relation,93,57,,112,87,causes,0.384110639798688,901985-FS1-4,The biologic behavior of the intraepidermal component of SUPERFICIAL SPREADING MELANOMA (the RADIAL GROWTH PHASE) has been demonstrated to have significantly different properties than those of the cells in the vertical growth phase,RADIAL GROWTH PHASE,SUPERFICIAL SPREADING MELANOMA,RO-disease_has_finding
