_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,direction,b1,b2,direction_gold,e1,e2,relation,relex_relcos,sent_id,sentence,term1,term2,twrex
725582624,5/25/2015 22:47:53,1643188314,5/25/2015 22:47:19,false,neodev,0.8383,11460728,CAN,BC,Burnaby,70.79.16.165,no_relation,230,281,,237,288,causes,0.762000762001143,802053-FS1-4,"Itching suggests an allergic cause; nasal pain suggests dacryocystitis; constant foreign body sensation suggests a corneal foreign body, corneal abrasion, corneal ulcer, or trichiasis; intermittent foreign body sensation suggests DRY EYES; other symptoms (eg, photophobia) suggest UVEITIS or keratitis.",DRY EYES,UVEITIS,TWrex-cause
725582624,5/25/2015 22:50:28,1643189065,5/25/2015 22:49:16,false,zoombucks,0.8429,6744840,CAN,BC,Kelowna,174.4.58.160,no_relation,230,281,,237,288,causes,0.762000762001143,802053-FS1-4,"Itching suggests an allergic cause; nasal pain suggests dacryocystitis; constant foreign body sensation suggests a corneal foreign body, corneal abrasion, corneal ulcer, or trichiasis; intermittent foreign body sensation suggests DRY EYES; other symptoms (eg, photophobia) suggest UVEITIS or keratitis.",DRY EYES,UVEITIS,TWrex-cause
725582624,5/25/2015 22:50:34,1643189093,5/25/2015 22:50:17,false,neodev,0.4444,30504276,CAN,ON,Sudbury,66.103.55.12,UVEITIS causes DRY EYES,230,281,,237,288,causes,0.762000762001143,802053-FS1-4,"Itching suggests an allergic cause; nasal pain suggests dacryocystitis; constant foreign body sensation suggests a corneal foreign body, corneal abrasion, corneal ulcer, or trichiasis; intermittent foreign body sensation suggests DRY EYES; other symptoms (eg, photophobia) suggest UVEITIS or keratitis.",DRY EYES,UVEITIS,TWrex-cause
725582624,5/25/2015 22:56:02,1643190514,5/25/2015 22:55:21,false,instagc,0.744,31184650,USA,IA,Mason City,173.26.27.82,no_relation,230,281,,237,288,causes,0.762000762001143,802053-FS1-4,"Itching suggests an allergic cause; nasal pain suggests dacryocystitis; constant foreign body sensation suggests a corneal foreign body, corneal abrasion, corneal ulcer, or trichiasis; intermittent foreign body sensation suggests DRY EYES; other symptoms (eg, photophobia) suggest UVEITIS or keratitis.",DRY EYES,UVEITIS,TWrex-cause
725582624,5/25/2015 22:57:55,1643191082,5/25/2015 22:57:32,false,bitcoinget,0.7057,28503763,USA,CA,San Francisco,107.217.186.64,no_relation,230,281,,237,288,causes,0.762000762001143,802053-FS1-4,"Itching suggests an allergic cause; nasal pain suggests dacryocystitis; constant foreign body sensation suggests a corneal foreign body, corneal abrasion, corneal ulcer, or trichiasis; intermittent foreign body sensation suggests DRY EYES; other symptoms (eg, photophobia) suggest UVEITIS or keratitis.",DRY EYES,UVEITIS,TWrex-cause
725582624,5/25/2015 23:05:24,1643193275,5/25/2015 23:05:07,false,clixsense,0.75,19638651,USA,SC,Summerville,174.107.73.211,no_relation,230,281,,237,288,causes,0.762000762001143,802053-FS1-4,"Itching suggests an allergic cause; nasal pain suggests dacryocystitis; constant foreign body sensation suggests a corneal foreign body, corneal abrasion, corneal ulcer, or trichiasis; intermittent foreign body sensation suggests DRY EYES; other symptoms (eg, photophobia) suggest UVEITIS or keratitis.",DRY EYES,UVEITIS,TWrex-cause
725582624,5/25/2015 23:19:43,1643196835,5/25/2015 23:18:47,false,elite,0.6429,32173500,GBR,E4,Rayleigh,90.219.97.221,no_relation,230,281,,237,288,causes,0.762000762001143,802053-FS1-4,"Itching suggests an allergic cause; nasal pain suggests dacryocystitis; constant foreign body sensation suggests a corneal foreign body, corneal abrasion, corneal ulcer, or trichiasis; intermittent foreign body sensation suggests DRY EYES; other symptoms (eg, photophobia) suggest UVEITIS or keratitis.",DRY EYES,UVEITIS,TWrex-cause
725582625,5/25/2015 21:59:52,1643173466,5/25/2015 21:59:28,false,pocketmoneygpt,0.9389,21432964,GBR,K5,Poole,109.155.122.13,no_relation,25,8,,30,10,causes,0.905821627315676,812691-FS1-4,"In some HD patients, the CHOREA becomes severe and impairs function; in those instances, treatment is appropriate.",CHOREA,HD,TWrex-cause
725582625,5/25/2015 22:06:02,1643175018,5/25/2015 22:05:22,false,prodege,0.7679,18793920,USA,CA,Salinas,73.162.0.87,no_relation,25,8,,30,10,causes,0.905821627315676,812691-FS1-4,"In some HD patients, the CHOREA becomes severe and impairs function; in those instances, treatment is appropriate.",CHOREA,HD,TWrex-cause
725582625,5/25/2015 22:15:56,1643178243,5/25/2015 22:15:40,false,neodev,0.8444,31326282,NLD,"","",82.169.243.65,HD causes CHOREA,25,8,,30,10,causes,0.905821627315676,812691-FS1-4,"In some HD patients, the CHOREA becomes severe and impairs function; in those instances, treatment is appropriate.",CHOREA,HD,TWrex-cause
