_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,relations,step_1_select_the_valid_relations,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1,step_2b_if_you_selected_none_in_step_1_explain_why,b1,b2,e1,e2,expertdecision,relation,sent_id,relation,sentence,term1,term2
494240875,6/27/2014 17:47:04,,1306272921,6/27/2014 17:46:56,prodege,1,12944140,GBR,C8,Croydon,92.21.0.165,[NONE],[NONE],n/a,n/a,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,6/27/2014 19:42:21,,1306367419,6/27/2014 19:41:51,prodege,1,8446489,GBR,G5,Tunbridge Wells,2.101.167.235,[MANIFESTATION],[MANIFESTATION],PRECOCIOUS PUBERTY MCCUNE-ALBRIGHT SYNDROME,N/A,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,6/27/2014 20:30:38,,1306386970,6/27/2014 20:30:31,bitcoinget,1,27786287,USA,FL,Jacksonville,76.106.186.209,[DIAGNOSE_BY_TEST_OR_DRUG],[DIAGNOSE_BY_TEST_OR_DRUG],therapy,because,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,6/28/2014 00:21:38,,1306660784,6/28/2014 00:20:13,prodege,1,15287417,CAN,ON,Maple,99.248.137.57,[OTHER],[OTHER],PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME,N/a,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,6/28/2014 04:30:51,,1306831733,6/28/2014 04:30:26,superrewards,1,23067591,USA,VA,Earlysville,71.48.142.94,[SYMPTOM],[SYMPTOM],therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME,Na,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,6/28/2014 18:19:48,,1307221923,6/28/2014 18:19:20,neodev,1,18755947,GBR,H2,Accrington,80.47.187.155,[SYMPTOM],[SYMPTOM],with the,N/A,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,6/28/2014 20:22:15,,1307548243,6/28/2014 20:20:09,neodev,1,20929875,USA,MA,Boston,71.174.181.181,[ASSOCIATED_WITH],[ASSOCIATED_WITH],in girls with SYNDROME,in girls with the MCCUNE-ALBRIGHT SYNDROME,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,6/29/2014 16:59:42,,1309099465,6/29/2014 16:58:26,elite,1,27769923,GBR,J8,Nottingham,2.100.251.81,[ASSOCIATED_WITH],[ASSOCIATED_WITH],PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME,N/A,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,6/30/2014 18:16:45,,1310640442,6/30/2014 18:15:12,vivatic,1,27576853,GBR,,,82.22.78.199,[ASSOCIATED_WITH] [PREVENTS],"[PREVENTS]
[ASSOCIATED_WITH]",in girls with,n/a,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,7/1/2014 16:53:45,,1311672454,7/1/2014 16:53:14,instagc,1,28158920,USA,MO,Saint Louis,99.191.145.242,[ASSOCIATED_WITH],[ASSOCIATED_WITH],with,N/A,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,7/1/2014 21:37:25,,1312093751,7/1/2014 21:36:26,clixsense,1,6552684,USA,DE,Wilmington,98.114.2.161,[MANIFESTATION],[MANIFESTATION],Long term testolactone therapy,n/a,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,7/1/2014 23:03:31,,1312180078,7/1/2014 23:03:05,prodege,1,7061586,AUS,2,Toongabbie,114.76.177.0,[TREATS],[TREATS],testolactone therapy,n/a,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,7/2/2014 17:40:36,,1313114120,7/2/2014 17:40:19,prodege,1,18960400,GBR,H9,London,109.154.7.94,[MANIFESTATION],[MANIFESTATION],Cutler,dsdsdsds,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,7/2/2014 17:58:19,,1313133575,7/2/2014 17:58:02,clixsense,1,19162475,GBR,M3,Frome,82.33.126.30,[ASSOCIATED_WITH],[ASSOCIATED_WITH],PRECOCIOUS PUBERTY MCCUNE-ALBRIGHT SYNDROME,n/a,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
494240875,7/2/2014 17:58:32,,1313133850,7/2/2014 17:55:57,instagc,1,18531561,CAN,ON,Mississauga,99.229.185.45,[ASSOCIATED_WITH],[ASSOCIATED_WITH],in girls with,girls with that syndrome reach puberty early,71,108,89,132,-1,RO-disease_has_finding,901840,,"Feuillan PP, Jones J, Cutler GB Jr. Long term testolactone therapy for PRECOCIOUS PUBERTY in girls with the MCCUNE-ALBRIGHT SYNDROME",PRECOCIOUS PUBERTY,MCCUNE-ALBRIGHT SYNDROME
