_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,relations,step_1_select_the_valid_relations,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1,step_2b_if_you_selected_none_in_step_1_explain_why,b1,b2,baselinedec,e1,e2,rel-type,sent_id,sentence,term1,term2
790085233,9/17/2015 11:05:50,1740386680,9/17/2015 11:05:33,false,elite,1,33453990,USA,VA,Manassas,207.244.89.75,[LOCATION],[LOCATION],be,N/A,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
790085233,9/17/2015 11:17:52,1740389065,9/17/2015 11:16:52,false,points4rewards,1,20113482,USA,PA,Philadelphia,162.208.49.45,[OTHER],[OTHER],modify the production of acid in,N/A,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
790085233,9/17/2015 11:19:14,1740389349,9/17/2015 11:18:53,false,neodev,1,32695853,USA,NV,Las Vegas,192.30.80.172,[PART_OF] [DIAGNOSE_BY_TEST_OR_DRUG] [SIDE_EFFECT],"[DIAGNOSE_BY_TEST_OR_DRUG]
[SIDE_EFFECT]
[PART_OF]",of or effective,N/A,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
790085233,9/17/2015 11:24:33,1740390135,9/17/2015 11:22:10,false,neodev,1,30581619,USA,CA,San Jose,50.118.162.56,[NONE],[NONE],good,good,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
790085233,9/17/2015 11:31:18,1740391408,9/17/2015 11:30:55,false,neodev,1,30941227,USA,NV,Las Vegas,192.30.80.166,[PART_OF] [DIAGNOSE_BY_TEST_OR_DRUG] [SIDE_EFFECT],"[DIAGNOSE_BY_TEST_OR_DRUG]
[SIDE_EFFECT]
[PART_OF]",of or effective,N/A,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
790085233,9/17/2015 11:41:50,1740393454,9/17/2015 11:41:38,false,neodev,1,33701549,USA,CA,Torrance,66.171.228.66,[LOCATION] [CAUSES] [IS_A] [NONE],"[CAUSES]
[LOCATION]
[IS_A]
[NONE]",[IS_A],N/A,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
790085233,9/17/2015 12:06:11,1740398348,9/17/2015 12:05:52,false,elite,1,30659551,USA,VA,Manassas,207.244.89.77,[SIDE_EFFECT],[SIDE_EFFECT],effective,N/A,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
790085233,9/17/2015 12:30:16,1740403636,9/17/2015 12:28:46,false,neodev,1,30588889,NLD,07,Amsterdam,77.248.175.222,[ASSOCIATED_WITH] [OTHER],"[ASSOCIATED_WITH]
[OTHER]",which modify the production,N/A,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
790085233,9/17/2015 12:38:33,1740405709,9/17/2015 12:37:47,false,prodege,1,2145087,USA,NY,New York,107.107.57.52,[PREVENTS],[PREVENTS],modify the production of acid in,N/A,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
790085233,9/17/2015 12:38:49,1740405762,9/17/2015 12:38:30,false,neodev,1,18881135,CAN,ON,Ajax,99.243.87.224,[TREATS],[TREATS],NON FLUORIDE AGENTS modify production of acid in PLAQUE,na,74,15,80,79,34,RO-may_prevent,820369-FS1,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",PLAQUE,NON FLUORIDE AGENTS
